Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,2449.53125000,,Zero Index,2449.53125000,,Zero Index,2449.53125000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-2.780000,,yPosition,-2.140000,,yPosition,0.000000

Labels,,,
TIME,CH1,CH2,CH3
-9.79812500e-08,4.62500000e-05,3.04062500e-03,4.48750000e-03
-9.79412500e-08,4.12500000e-05,3.02812500e-03,4.51562500e-03
-9.79012500e-08,3.62500000e-05,3.01093750e-03,4.54375000e-03
-9.78612500e-08,3.18750000e-05,2.99218750e-03,4.56562500e-03
-9.78212500e-08,2.78125000e-05,2.97343750e-03,4.58437500e-03
-9.77812500e-08,2.50000000e-05,2.95468750e-03,4.60625000e-03
-9.77412500e-08,2.37500000e-05,2.93750000e-03,4.62500000e-03
-9.77012500e-08,2.37500000e-05,2.92031250e-03,4.64687500e-03
-9.76612500e-08,2.56250000e-05,2.90468750e-03,4.66875000e-03
-9.76212500e-08,2.90625000e-05,2.89218750e-03,4.69375000e-03
-9.75812500e-08,3.40625000e-05,2.88125000e-03,4.72187500e-03
-9.75412500e-08,4.06250000e-05,2.87343750e-03,4.75000000e-03
-9.75012500e-08,4.78125000e-05,2.86718750e-03,4.78125000e-03
-9.74612500e-08,5.59375000e-05,2.86250000e-03,4.81250000e-03
-9.74212500e-08,6.43750000e-05,2.85781250e-03,4.84062500e-03
-9.73812500e-08,7.21875000e-05,2.85468750e-03,4.86875000e-03
-9.73412500e-08,7.96875000e-05,2.85156250e-03,4.89062500e-03
-9.73012500e-08,8.59375000e-05,2.84843750e-03,4.90625000e-03
-9.72612500e-08,9.06250000e-05,2.84531250e-03,4.91562500e-03
-9.72212500e-08,9.31250000e-05,2.84062500e-03,4.91562500e-03
-9.71812500e-08,9.40625000e-05,2.83593750e-03,4.90625000e-03
