Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,2449.53125000,,Zero Index,2449.53125000,,Zero Index,2449.53125000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-2.780000,,yPosition,-2.140000,,yPosition,0.000000

Labels,,,
TIME,CH1,CH2,CH3
-9.79812500e-08,4.59375000e-05,3.15937500e-03,3.13125000e-03
-9.79412500e-08,4.06250000e-05,3.16250000e-03,3.16562500e-03
-9.79012500e-08,3.21875000e-05,3.16250000e-03,3.20625000e-03
-9.78612500e-08,2.06250000e-05,3.15937500e-03,3.25312500e-03
-9.78212500e-08,6.56250000e-06,3.15156250e-03,3.30625000e-03
-9.77812500e-08,-8.75000000e-06,3.14218750e-03,3.35937500e-03
-9.77412500e-08,-2.53125000e-05,3.13125000e-03,3.41562500e-03
-9.77012500e-08,-4.21875000e-05,3.11875000e-03,3.47187500e-03
-9.76612500e-08,-5.84375000e-05,3.10625000e-03,3.52500000e-03
-9.76212500e-08,-7.37500000e-05,3.09375000e-03,3.57500000e-03
-9.75812500e-08,-8.75000000e-05,3.08281250e-03,3.62187500e-03
-9.75412500e-08,-9.90625000e-05,3.07187500e-03,3.65937500e-03
-9.75012500e-08,-1.08125000e-04,3.06562500e-03,3.69062500e-03
-9.74612500e-08,-1.15000000e-04,3.06093750e-03,3.71562500e-03
-9.74212500e-08,-1.19375000e-04,3.05781250e-03,3.73125000e-03
-9.73812500e-08,-1.21562500e-04,3.05937500e-03,3.74062500e-03
-9.73412500e-08,-1.21562500e-04,3.06406250e-03,3.74062500e-03
-9.73012500e-08,-1.20312500e-04,3.07031250e-03,3.73437500e-03
-9.72612500e-08,-1.17812500e-04,3.08125000e-03,3.72187500e-03
-9.72212500e-08,-1.14687500e-04,3.09218750e-03,3.70312500e-03
-9.71812500e-08,-1.11562500e-04,3.10625000e-03,3.68125000e-03
-9.71412500e-08,-1.09062500e-04,3.12187500e-03,3.65312500e-03
-9.71012500e-08,-1.07500000e-04,3.13750000e-03,3.62187500e-03
-9.70612500e-08,-1.07500000e-04,3.15312500e-03,3.59062500e-03
-9.70212500e-08,-1.08750000e-04,3.16875000e-03,3.55625000e-03
-9.69812500e-08,-1.12187500e-04,3.18281250e-03,3.52500000e-03
-9.69412500e-08,-1.17187500e-04,3.19531250e-03,3.49062500e-03
-9.69012500e-08,-1.23750000e-04,3.20625000e-03,3.45937500e-03
-9.68612500e-08,-1.31875000e-04,3.21406250e-03,3.43125000e-03
-9.68212500e-08,-1.40937500e-04,3.21875000e-03,3.40312500e-03
-9.67812500e-08,-1.50625000e-04,3.22031250e-03,3.37812500e-03
-9.67412500e-08,-1.60625000e-04,3.21875000e-03,3.35625000e-03
-9.67012500e-08,-1.70312500e-04,3.21250000e-03,3.33750000e-03
-9.66612500e-08,-1.79062500e-04,3.20468750e-03,3.32187500e-03
-9.66212500e-08,-1.86562500e-04,3.19218750e-03,3.30625000e-03
-9.65812500e-08,-1.92187500e-04,3.17500000e-03,3.29375000e-03
-9.65412500e-08,-1.95937500e-04,3.15625000e-03,3.28437500e-03
-9.65012500e-08,-1.97500000e-04,3.13437500e-03,3.27500000e-03
-9.64612500e-08,-1.96875000e-04,3.11093750e-03,3.26562500e-03
-9.64212500e-08,-1.94062500e-04,3.08437500e-03,3.25937500e-03
-9.63812500e-08,-1.89062500e-04,3.05625000e-03,3.25312500e-03
-9.63412500e-08,-1.82500000e-04,3.02812500e-03,3.24375000e-03
-9.63012500e-08,-1.74687500e-04,3.00000000e-03,3.23750000e-03
-9.62612500e-08,-1.66250000e-04,2.97187500e-03,3.22812500e-03
-9.62212500e-08,-1.57187500e-04,2.94531250e-03,3.22187500e-03
-9.61812500e-08,-1.48125000e-04,2.92031250e-03,3.20937500e-03
-9.61412500e-08,-1.39687500e-04,2.89687500e-03,3.20000000e-03
-9.61012500e-08,-1.32500000e-04,2.87812500e-03,3.19062500e-03
