Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,2449.53125000,,Zero Index,2449.53125000,,Zero Index,2449.53125000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-2.780000,,yPosition,-2.140000,,yPosition,0.000000

Labels,,,
TIME,CH1,CH2,CH3
-9.79812500e-08,6.15625000e-05,2.70781250e-03,3.46875000e-03
-9.79412500e-08,5.68750000e-05,2.69375000e-03,3.47812500e-03
-9.79012500e-08,5.15625000e-05,2.68593750e-03,3.48125000e-03
-9.78612500e-08,4.59375000e-05,2.68281250e-03,3.47812500e-03
-9.78212500e-08,4.06250000e-05,2.68750000e-03,3.47187500e-03
-9.77812500e-08,3.53125000e-05,2.69843750e-03,3.46250000e-03
-9.77412500e-08,3.06250000e-05,2.71562500e-03,3.45000000e-03
-9.77012500e-08,2.65625000e-05,2.73906250e-03,3.43125000e-03
-9.76612500e-08,2.37500000e-05,2.76875000e-03,3.41250000e-03
-9.76212500e-08,2.25000000e-05,2.80156250e-03,3.39062500e-03
-9.75812500e-08,2.25000000e-05,2.84062500e-03,3.37187500e-03
-9.75412500e-08,2.43750000e-05,2.88281250e-03,3.35312500e-03
-9.75012500e-08,2.78125000e-05,2.92656250e-03,3.33437500e-03
-9.74612500e-08,3.31250000e-05,2.97187500e-03,3.32187500e-03
-9.74212500e-08,3.96875000e-05,3.01718750e-03,3.31562500e-03
-9.73812500e-08,4.75000000e-05,3.06093750e-03,3.31250000e-03
-9.73412500e-08,5.59375000e-05,3.10156250e-03,3.31562500e-03
-9.73012500e-08,6.46875000e-05,3.14062500e-03,3.32812500e-03
-9.72612500e-08,7.31250000e-05,3.17500000e-03,3.34687500e-03
