Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,2449.53125000,,Zero Index,2449.53125000,,Zero Index,2449.53125000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-2.780000,,yPosition,-2.140000,,yPosition,0.000000

Labels,,,
TIME,CH1,CH2,CH3
-9.79812500e-08,-5.22500000e-04,3.03437500e-03,3.28750000e-03
-9.79412500e-08,-5.30000000e-04,3.01718750e-03,3.25937500e-03
-9.79012500e-08,-5.37187500e-04,2.99687500e-03,3.23125000e-03
-9.78612500e-08,-5.43750000e-04,2.97343750e-03,3.20312500e-03
-9.78212500e-08,-5.49687500e-04,2.94687500e-03,3.17500000e-03
-9.77812500e-08,-5.55000000e-04,2.91875000e-03,3.15000000e-03
-9.77412500e-08,-5.59375000e-04,2.89062500e-03,3.12812500e-03
-9.77012500e-08,-5.62500000e-04,2.86406250e-03,3.11250000e-03
-9.76612500e-08,-5.65000000e-04,2.83750000e-03,3.10000000e-03
-9.76212500e-08,-5.66562500e-04,2.81562500e-03,3.09687500e-03
-9.75812500e-08,-5.67187500e-04,2.79531250e-03,3.10000000e-03
-9.75412500e-08,-5.66875000e-04,2.78125000e-03,3.10937500e-03
-9.75012500e-08,-5.65937500e-04,2.77187500e-03,3.12187500e-03
-9.74612500e-08,-5.64062500e-04,2.76875000e-03,3.14062500e-03
-9.74212500e-08,-5.61562500e-04,2.77187500e-03,3.16562500e-03
-9.73812500e-08,-5.58437500e-04,2.77968750e-03,3.19062500e-03
-9.73412500e-08,-5.55312500e-04,2.79375000e-03,3.21562500e-03
-9.73012500e-08,-5.51562500e-04,2.81406250e-03,3.24062500e-03
-9.72612500e-08,-5.47812500e-04,2.83750000e-03,3.26250000e-03
-9.72212500e-08,-5.44062500e-04,2.86406250e-03,3.28125000e-03
-9.71812500e-08,-5.40625000e-04,2.89375000e-03,3.29375000e-03
-9.71412500e-08,-5.37187500e-04,2.92343750e-03,3.30312500e-03
-9.71012500e-08,-5.34062500e-04,2.95468750e-03,3.30312500e-03
-9.70612500e-08,-5.31562500e-04,2.98281250e-03,3.29687500e-03
-9.70212500e-08,-5.29687500e-04,3.00937500e-03,3.28437500e-03
-9.69812500e-08,-5.28437500e-04,3.03281250e-03,3.26562500e-03
-9.69412500e-08,-5.28125000e-04,3.05156250e-03,3.24375000e-03
-9.69012500e-08,-5.28750000e-04,3.06562500e-03,3.21562500e-03
-9.68612500e-08,-5.30312500e-04,3.07343750e-03,3.18750000e-03
-9.68212500e-08,-5.33125000e-04,3.07656250e-03,3.15625000e-03
-9.67812500e-08,-5.36875000e-04,3.07500000e-03,3.12812500e-03
-9.67412500e-08,-5.42187500e-04,3.06718750e-03,3.10312500e-03
-9.67012500e-08,-5.48750000e-04,3.05625000e-03,3.08437500e-03
-9.66612500e-08,-5.56562500e-04,3.04218750e-03,3.06875000e-03
-9.66212500e-08,-5.65937500e-04,3.02343750e-03,3.06250000e-03
-9.65812500e-08,-5.76250000e-04,3.00625000e-03,3.06562500e-03
-9.65412500e-08,-5.88125000e-04,2.98593750e-03,3.07500000e-03
-9.65012500e-08,-6.00937500e-04,2.96875000e-03,3.09687500e-03
-9.64612500e-08,-6.14687500e-04,2.95312500e-03,3.12500000e-03
-9.64212500e-08,-6.29375000e-04,2.94062500e-03,3.16562500e-03
-9.63812500e-08,-6.44375000e-04,2.93281250e-03,3.20937500e-03
-9.63412500e-08,-6.59687500e-04,2.92968750e-03,3.26250000e-03
-9.63012500e-08,-6.74687500e-04,2.93125000e-03,3.31562500e-03
-9.62612500e-08,-6.89375000e-04,2.93750000e-03,3.37187500e-03
-9.62212500e-08,-7.03125000e-04,2.95000000e-03,3.42812500e-03
-9.61812500e-08,-7.15937500e-04,2.96875000e-03,3.48437500e-03
-9.61412500e-08,-7.27187500e-04,2.99062500e-03,3.53125000e-03
-9.61012500e-08,-7.36562500e-04,3.01562500e-03,3.57500000e-03
-9.60612500e-08,-7.44062500e-04,3.04375000e-03,3.60937500e-03
-9.60212500e-08,-7.49687500e-04,3.07343750e-03,3.63437500e-03
-9.59812500e-08,-7.52500000e-04,3.10468750e-03,3.65000000e-03
-9.59412500e-08,-7.53437500e-04,3.13281250e-03,3.65312500e-03
-9.59012500e-08,-7.51875000e-04,3.16093750e-03,3.64375000e-03
-9.58612500e-08,-7.48125000e-04,3.18437500e-03,3.62500000e-03
-9.58212500e-08,-7.42500000e-04,3.20312500e-03,3.59687500e-03
-9.57812500e-08,-7.35000000e-04,3.21718750e-03,3.55937500e-03
-9.57412500e-08,-7.26562500e-04,3.22500000e-03,3.51562500e-03
-9.57012500e-08,-7.16875000e-04,3.22812500e-03,3.46562500e-03
-9.56612500e-08,-7.06562500e-04,3.22343750e-03,3.41562500e-03
-9.56212500e-08,-6.96250000e-04,3.21250000e-03,3.36250000e-03
-9.55812500e-08,-6.86250000e-04,3.19687500e-03,3.30937500e-03
-9.55412500e-08,-6.76875000e-04,3.17500000e-03,3.25937500e-03
-9.55012500e-08,-6.68437500e-04,3.15000000e-03,3.21562500e-03
-9.54612500e-08,-6.60937500e-04,3.12031250e-03,3.17812500e-03
-9.54212500e-08,-6.55000000e-04,3.08906250e-03,3.14687500e-03
-9.53812500e-08,-6.50312500e-04,3.05468750e-03,3.12187500e-03
-9.53412500e-08,-6.46875000e-04,3.02187500e-03,3.10625000e-03
-9.53012500e-08,-6.45000000e-04,2.98906250e-03,3.10000000e-03
-9.52612500e-08,-6.43750000e-04,2.95781250e-03,3.10000000e-03
-9.52212500e-08,-6.43437500e-04,2.92812500e-03,3.10625000e-03
-9.51812500e-08,-6.43437500e-04,2.90156250e-03,3.11875000e-03
-9.51412500e-08,-6.43437500e-04,2.87968750e-03,3.13437500e-03
-9.51012500e-08,-6.43125000e-04,2.86093750e-03,3.15625000e-03
-9.50612500e-08,-6.42187500e-04,2.84531250e-03,3.17500000e-03
-9.50212500e-08,-6.40312500e-04,2.83437500e-03,3.19687500e-03
-9.49812500e-08,-6.37187500e-04,2.82500000e-03,3.21562500e-03
-9.49412500e-08,-6.32500000e-04,2.81875000e-03,3.23125000e-03
-9.49012500e-08,-6.26562500e-04,2.81562500e-03,3.24375000e-03
-9.48612500e-08,-6.19375000e-04,2.81406250e-03,3.25000000e-03
-9.48212500e-08,-6.10937500e-04,2.81406250e-03,3.25625000e-03
-9.47812500e-08,-6.01250000e-04,2.81250000e-03,3.25312500e-03
-9.47412500e-08,-5.91250000e-04,2.81250000e-03,3.25000000e-03
-9.47012500e-08,-5.80937500e-04,2.81250000e-03,3.24062500e-03
