Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,2449.53125000,,Zero Index,2449.53125000,,Zero Index,2449.53125000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-2.780000,,yPosition,-2.140000,,yPosition,0.000000

Labels,,,
TIME,CH1,CH2,CH3
-9.79812500e-08,4.12500000e-05,3.35625000e-03,3.93750000e-03
-9.79412500e-08,3.06250000e-05,3.35625000e-03,3.94062500e-03
-9.79012500e-08,2.06250000e-05,3.35781250e-03,3.94687500e-03
-9.78612500e-08,1.18750000e-05,3.36250000e-03,3.95312500e-03
-9.78212500e-08,4.37500000e-06,3.37031250e-03,3.96250000e-03
-9.77812500e-08,-1.25000000e-06,3.37968750e-03,3.97187500e-03
-9.77412500e-08,-5.31250000e-06,3.39062500e-03,3.98125000e-03
-9.77012500e-08,-7.50000000e-06,3.40156250e-03,3.99062500e-03
-9.76612500e-08,-8.12500000e-06,3.41406250e-03,3.99687500e-03
-9.76212500e-08,-7.50000000e-06,3.42656250e-03,4.00312500e-03
-9.75812500e-08,-5.62500000e-06,3.43906250e-03,4.00625000e-03
-9.75412500e-08,-3.12500000e-06,3.45156250e-03,4.00937500e-03
-9.75012500e-08,0.00000000e+00,3.46250000e-03,4.00937500e-03
-9.74612500e-08,3.43750000e-06,3.47187500e-03,4.00937500e-03
-9.74212500e-08,6.25000000e-06,3.48125000e-03,4.00625000e-03
