Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,2449.53125000,,Zero Index,2449.53125000,,Zero Index,2449.53125000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-0.680000,,yPosition,-2.140000,,yPosition,0.000000

Labels,,,
TIME,CH1,CH2,CH3
-9.79812500e-08,-1.03968750e-02,3.07031250e-03,3.91875000e-03
-9.79412500e-08,-1.04187500e-02,3.08281250e-03,3.93125000e-03
-9.79012500e-08,-1.04406250e-02,3.10156250e-03,3.94375000e-03
-9.78612500e-08,-1.04593750e-02,3.12500000e-03,3.95312500e-03
-9.78212500e-08,-1.04718750e-02,3.15468750e-03,3.96562500e-03
-9.77812500e-08,-1.04812500e-02,3.18906250e-03,3.97812500e-03
-9.77412500e-08,-1.04875000e-02,3.22812500e-03,3.98750000e-03
-9.77012500e-08,-1.04906250e-02,3.26718750e-03,3.99687500e-03
-9.76612500e-08,-1.04843750e-02,3.30937500e-03,4.00312500e-03
-9.76212500e-08,-1.04781250e-02,3.35000000e-03,4.00937500e-03
-9.75812500e-08,-1.04656250e-02,3.38906250e-03,4.01562500e-03
-9.75412500e-08,-1.04531250e-02,3.42500000e-03,4.01562500e-03
-9.75012500e-08,-1.04375000e-02,3.45625000e-03,4.01875000e-03
-9.74612500e-08,-1.04187500e-02,3.48281250e-03,4.01875000e-03
-9.74212500e-08,-1.04031250e-02,3.50468750e-03,4.01875000e-03
-9.73812500e-08,-1.03875000e-02,3.51875000e-03,4.01562500e-03
-9.73412500e-08,-1.03750000e-02,3.52500000e-03,4.01250000e-03
-9.73012500e-08,-1.03656250e-02,3.52500000e-03,4.01250000e-03
-9.72612500e-08,-1.03593750e-02,3.51875000e-03,4.00937500e-03
-9.72212500e-08,-1.03593750e-02,3.50468750e-03,4.00937500e-03
-9.71812500e-08,-1.03593750e-02,3.48437500e-03,4.00937500e-03
-9.71412500e-08,-1.03656250e-02,3.45937500e-03,4.00937500e-03
-9.71012500e-08,-1.03750000e-02,3.42812500e-03,4.00937500e-03
-9.70612500e-08,-1.03906250e-02,3.39375000e-03,4.00937500e-03
-9.70212500e-08,-1.04031250e-02,3.35625000e-03,4.00937500e-03
-9.69812500e-08,-1.04218750e-02,3.31718750e-03,4.00937500e-03
-9.69412500e-08,-1.04375000e-02,3.27812500e-03,4.00937500e-03
-9.69012500e-08,-1.04531250e-02,3.23750000e-03,4.00937500e-03
-9.68612500e-08,-1.04656250e-02,3.20000000e-03,4.00937500e-03
-9.68212500e-08,-1.04750000e-02,3.16250000e-03,4.00625000e-03
-9.67812500e-08,-1.04812500e-02,3.12968750e-03,4.00312500e-03
-9.67412500e-08,-1.04812500e-02,3.10000000e-03,4.00000000e-03
