Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,2449.53125000,,Zero Index,2449.53125000,,Zero Index,2449.53125000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-0.680000,,yPosition,-2.140000,,yPosition,0.000000

Labels,,,
TIME,CH1,CH2,CH3
-9.79812500e-08,-4.45312500e-03,3.00468750e-03,3.92187500e-03
-9.79412500e-08,-4.45000000e-03,3.01562500e-03,3.92500000e-03
-9.79012500e-08,-4.44687500e-03,3.02656250e-03,3.93125000e-03
-9.78612500e-08,-4.44687500e-03,3.03906250e-03,3.94375000e-03
-9.78212500e-08,-4.44687500e-03,3.05156250e-03,3.95625000e-03
-9.77812500e-08,-4.44687500e-03,3.06406250e-03,3.97500000e-03
-9.77412500e-08,-4.45000000e-03,3.07656250e-03,3.99687500e-03
-9.77012500e-08,-4.45312500e-03,3.08750000e-03,4.01875000e-03
-9.76612500e-08,-4.45625000e-03,3.09687500e-03,4.04062500e-03
-9.76212500e-08,-4.45937500e-03,3.10312500e-03,4.05937500e-03
-9.75812500e-08,-4.46250000e-03,3.10781250e-03,4.07812500e-03
-9.75412500e-08,-4.46875000e-03,3.10937500e-03,4.09375000e-03
-9.75012500e-08,-4.47812500e-03,3.10781250e-03,4.10625000e-03
-9.74612500e-08,-4.48750000e-03,3.10312500e-03,4.11250000e-03
-9.74212500e-08,-4.50000000e-03,3.09531250e-03,4.10937500e-03
-9.73812500e-08,-4.51562500e-03,3.08593750e-03,4.10312500e-03
-9.73412500e-08,-4.53750000e-03,3.07343750e-03,4.08750000e-03
-9.73012500e-08,-4.56250000e-03,3.05937500e-03,4.06562500e-03
-9.72612500e-08,-4.59062500e-03,3.04531250e-03,4.03750000e-03
-9.72212500e-08,-4.62500000e-03,3.02968750e-03,4.00312500e-03
-9.71812500e-08,-4.66562500e-03,3.01406250e-03,3.96562500e-03
-9.71412500e-08,-4.70625000e-03,3.00000000e-03,3.92187500e-03
-9.71012500e-08,-4.75312500e-03,2.98750000e-03,3.87500000e-03
-9.70612500e-08,-4.80000000e-03,2.97500000e-03,3.82500000e-03
-9.70212500e-08,-4.85000000e-03,2.96718750e-03,3.77812500e-03
-9.69812500e-08,-4.90000000e-03,2.96093750e-03,3.73125000e-03
-9.69412500e-08,-4.94687500e-03,2.95781250e-03,3.69062500e-03
-9.69012500e-08,-4.99062500e-03,2.95781250e-03,3.65312500e-03
-9.68612500e-08,-5.02812500e-03,2.96250000e-03,3.62187500e-03
-9.68212500e-08,-5.06250000e-03,2.96875000e-03,3.60000000e-03
-9.67812500e-08,-5.08437500e-03,2.97812500e-03,3.58437500e-03
-9.67412500e-08,-5.10000000e-03,2.99062500e-03,3.57812500e-03
-9.67012500e-08,-5.10625000e-03,3.00625000e-03,3.58125000e-03
-9.66612500e-08,-5.10312500e-03,3.02187500e-03,3.59375000e-03
-9.66212500e-08,-5.08750000e-03,3.04062500e-03,3.61250000e-03
-9.65812500e-08,-5.05937500e-03,3.05937500e-03,3.64375000e-03
-9.65412500e-08,-5.02500000e-03,3.07968750e-03,3.67812500e-03
-9.65012500e-08,-4.98125000e-03,3.10000000e-03,3.71875000e-03
-9.64612500e-08,-4.92812500e-03,3.11875000e-03,3.76250000e-03
-9.64212500e-08,-4.86875000e-03,3.13593750e-03,3.80937500e-03
-9.63812500e-08,-4.80625000e-03,3.15312500e-03,3.85937500e-03
-9.63412500e-08,-4.73750000e-03,3.16718750e-03,3.90625000e-03
-9.63012500e-08,-4.67187500e-03,3.17968750e-03,3.95000000e-03
-9.62612500e-08,-4.60312500e-03,3.18906250e-03,3.99062500e-03
-9.62212500e-08,-4.53750000e-03,3.19687500e-03,4.02812500e-03
-9.61812500e-08,-4.47500000e-03,3.20000000e-03,4.05625000e-03
-9.61412500e-08,-4.41562500e-03,3.20156250e-03,4.08125000e-03
-9.61012500e-08,-4.36250000e-03,3.20000000e-03,4.09687500e-03
-9.60612500e-08,-4.31562500e-03,3.19531250e-03,4.10625000e-03
-9.60212500e-08,-4.27500000e-03,3.18750000e-03,4.10625000e-03
-9.59812500e-08,-4.24062500e-03,3.17656250e-03,4.10312500e-03
-9.59412500e-08,-4.21250000e-03,3.16562500e-03,4.09375000e-03
-9.59012500e-08,-4.18750000e-03,3.15156250e-03,4.07812500e-03
-9.58612500e-08,-4.16875000e-03,3.13593750e-03,4.05937500e-03
-9.58212500e-08,-4.15312500e-03,3.12031250e-03,4.04062500e-03
-9.57812500e-08,-4.13750000e-03,3.10468750e-03,4.01875000e-03
-9.57412500e-08,-4.12500000e-03,3.08906250e-03,4.00000000e-03
-9.57012500e-08,-4.11562500e-03,3.07500000e-03,3.98125000e-03
-9.56612500e-08,-4.10312500e-03,3.06250000e-03,3.96250000e-03
-9.56212500e-08,-4.09062500e-03,3.05156250e-03,3.95000000e-03
-9.55812500e-08,-4.07500000e-03,3.04218750e-03,3.94062500e-03
-9.55412500e-08,-4.05937500e-03,3.03750000e-03,3.93437500e-03
-9.55012500e-08,-4.04375000e-03,3.03437500e-03,3.93437500e-03
-9.54612500e-08,-4.02500000e-03,3.03437500e-03,3.93750000e-03
-9.54212500e-08,-4.00625000e-03,3.03750000e-03,3.94375000e-03
-9.53812500e-08,-3.98750000e-03,3.04218750e-03,3.95625000e-03
-9.53412500e-08,-3.96875000e-03,3.05000000e-03,3.96875000e-03
-9.53012500e-08,-3.95000000e-03,3.05937500e-03,3.98125000e-03
-9.52612500e-08,-3.93437500e-03,3.07031250e-03,3.99687500e-03
-9.52212500e-08,-3.92187500e-03,3.08281250e-03,4.01250000e-03
-9.51812500e-08,-3.91562500e-03,3.09531250e-03,4.02812500e-03
-9.51412500e-08,-3.91250000e-03,3.10625000e-03,4.04062500e-03
-9.51012500e-08,-3.91250000e-03,3.11562500e-03,4.05000000e-03
-9.50612500e-08,-3.91875000e-03,3.12187500e-03,4.05625000e-03
-9.50212500e-08,-3.93125000e-03,3.12656250e-03,4.05937500e-03
-9.49812500e-08,-3.95000000e-03,3.12812500e-03,4.05937500e-03
-9.49412500e-08,-3.97187500e-03,3.12500000e-03,4.05312500e-03
-9.49012500e-08,-4.00000000e-03,3.11875000e-03,4.04375000e-03
-9.48612500e-08,-4.03437500e-03,3.10937500e-03,4.03437500e-03
-9.48212500e-08,-4.06875000e-03,3.09687500e-03,4.01875000e-03
-9.47812500e-08,-4.10937500e-03,3.08125000e-03,4.00312500e-03
-9.47412500e-08,-4.14687500e-03,3.06250000e-03,3.98750000e-03
-9.47012500e-08,-4.19062500e-03,3.04375000e-03,3.96875000e-03
-9.46612500e-08,-4.23125000e-03,3.02343750e-03,3.95312500e-03
-9.46212500e-08,-4.27187500e-03,3.00468750e-03,3.94062500e-03
-9.45812500e-08,-4.30937500e-03,2.98750000e-03,3.93125000e-03
-9.45412500e-08,-4.34375000e-03,2.97187500e-03,3.92187500e-03
-9.45012500e-08,-4.37500000e-03,2.96093750e-03,3.92187500e-03
-9.44612500e-08,-4.40312500e-03,2.95468750e-03,3.92500000e-03
-9.44212500e-08,-4.42812500e-03,2.95468750e-03,3.93125000e-03
-9.43812500e-08,-4.45000000e-03,2.95937500e-03,3.94687500e-03
-9.43412500e-08,-4.46250000e-03,2.97031250e-03,3.96562500e-03
-9.43012500e-08,-4.47500000e-03,2.98593750e-03,3.99062500e-03
-9.42612500e-08,-4.48125000e-03,3.00781250e-03,4.01875000e-03
-9.42212500e-08,-4.48437500e-03,3.03593750e-03,4.05000000e-03
-9.41812500e-08,-4.48125000e-03,3.06562500e-03,4.08750000e-03
-9.41412500e-08,-4.47812500e-03,3.10000000e-03,4.12500000e-03
-9.41012500e-08,-4.46875000e-03,3.13437500e-03,4.16250000e-03
-9.40612500e-08,-4.45625000e-03,3.16875000e-03,4.20312500e-03
-9.40212500e-08,-4.44062500e-03,3.20312500e-03,4.24062500e-03
-9.39812500e-08,-4.42500000e-03,3.23281250e-03,4.27500000e-03
-9.39412500e-08,-4.40312500e-03,3.25937500e-03,4.30312500e-03
-9.39012500e-08,-4.38125000e-03,3.28125000e-03,4.33125000e-03
-9.38612500e-08,-4.35625000e-03,3.29531250e-03,4.35000000e-03
-9.38212500e-08,-4.33125000e-03,3.30156250e-03,4.36562500e-03
-9.37812500e-08,-4.30000000e-03,3.30156250e-03,4.37500000e-03
-9.37412500e-08,-4.26875000e-03,3.29375000e-03,4.37500000e-03
-9.37012500e-08,-4.23437500e-03,3.27968750e-03,4.36875000e-03
-9.36612500e-08,-4.20000000e-03,3.25781250e-03,4.35937500e-03
-9.36212500e-08,-4.15937500e-03,3.22968750e-03,4.34062500e-03
-9.35812500e-08,-4.11875000e-03,3.19843750e-03,4.31875000e-03
-9.35412500e-08,-4.07500000e-03,3.16250000e-03,4.29062500e-03
-9.35012500e-08,-4.02500000e-03,3.12500000e-03,4.25937500e-03
-9.34612500e-08,-3.97500000e-03,3.08750000e-03,4.22500000e-03
-9.34212500e-08,-3.92187500e-03,3.05000000e-03,4.19062500e-03
-9.33812500e-08,-3.86562500e-03,3.01562500e-03,4.15625000e-03
-9.33412500e-08,-3.80625000e-03,2.98437500e-03,4.12187500e-03
-9.33012500e-08,-3.74375000e-03,2.95781250e-03,4.09062500e-03
-9.32612500e-08,-3.68125000e-03,2.93593750e-03,4.06250000e-03
-9.32212500e-08,-3.61250000e-03,2.92031250e-03,4.03750000e-03
-9.31812500e-08,-3.54687500e-03,2.90937500e-03,4.01562500e-03
-9.31412500e-08,-3.47812500e-03,2.90468750e-03,4.00000000e-03
-9.31012500e-08,-3.41250000e-03,2.90312500e-03,3.99062500e-03
-9.30612500e-08,-3.34687500e-03,2.90625000e-03,3.98125000e-03
-9.30212500e-08,-3.28437500e-03,2.91093750e-03,3.98125000e-03
-9.29812500e-08,-3.22500000e-03,2.91875000e-03,3.98125000e-03
-9.29412500e-08,-3.16875000e-03,2.92656250e-03,3.98750000e-03
-9.29012500e-08,-3.11875000e-03,2.93281250e-03,3.99375000e-03
-9.28612500e-08,-3.07812500e-03,2.93750000e-03,4.00312500e-03
-9.28212500e-08,-3.04375000e-03,2.93906250e-03,4.01250000e-03
-9.27812500e-08,-3.01875000e-03,2.93750000e-03,4.02187500e-03
-9.27412500e-08,-3.00312500e-03,2.93125000e-03,4.03125000e-03
-9.27012500e-08,-2.99687500e-03,2.92187500e-03,4.03750000e-03
-9.26612500e-08,-3.00312500e-03,2.90781250e-03,4.04375000e-03
-9.26212500e-08,-3.02187500e-03,2.89218750e-03,4.04375000e-03
-9.25812500e-08,-3.05000000e-03,2.87187500e-03,4.04375000e-03
-9.25412500e-08,-3.09062500e-03,2.85000000e-03,4.03750000e-03
-9.25012500e-08,-3.14062500e-03,2.82812500e-03,4.03125000e-03
-9.24612500e-08,-3.19687500e-03,2.80781250e-03,4.01875000e-03
-9.24212500e-08,-3.26562500e-03,2.78750000e-03,4.00625000e-03
-9.23812500e-08,-3.33750000e-03,2.77187500e-03,3.99375000e-03
-9.23412500e-08,-3.41562500e-03,2.75937500e-03,3.97812500e-03
-9.23012500e-08,-3.49687500e-03,2.75312500e-03,3.96562500e-03
-9.22612500e-08,-3.58125000e-03,2.75156250e-03,3.95312500e-03
-9.22212500e-08,-3.66250000e-03,2.75625000e-03,3.94375000e-03
-9.21812500e-08,-3.74062500e-03,2.76718750e-03,3.93750000e-03
-9.21412500e-08,-3.81562500e-03,2.78281250e-03,3.93750000e-03
-9.21012500e-08,-3.88437500e-03,2.80468750e-03,3.93750000e-03
-9.20612500e-08,-3.94687500e-03,2.82968750e-03,3.94375000e-03
-9.20212500e-08,-4.00000000e-03,2.85781250e-03,3.95625000e-03
-9.19812500e-08,-4.04375000e-03,2.88750000e-03,3.96875000e-03
-9.19412500e-08,-4.07500000e-03,2.91718750e-03,3.98750000e-03
-9.19012500e-08,-4.10000000e-03,2.94531250e-03,4.00625000e-03
-9.18612500e-08,-4.11250000e-03,2.97187500e-03,4.02812500e-03
