Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,2449.53125000,,Zero Index,2449.53125000,,Zero Index,2449.53125000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-0.680000,,yPosition,-2.140000,,yPosition,0.000000

Labels,,,
TIME,CH1,CH2,CH3
-9.79812500e-08,7.45625000e-03,3.38593750e-03,3.43750000e-03
-9.79412500e-08,7.42500000e-03,3.52187500e-03,3.33750000e-03
-9.79012500e-08,7.34687500e-03,3.66093750e-03,3.22500000e-03
-9.78612500e-08,7.21875000e-03,3.79687500e-03,3.10000000e-03
-9.78212500e-08,7.04687500e-03,3.92187500e-03,2.97187500e-03
-9.77812500e-08,6.84062500e-03,4.02968750e-03,2.85000000e-03
-9.77412500e-08,6.61250000e-03,4.11562500e-03,2.74062500e-03
-9.77012500e-08,6.36875000e-03,4.17500000e-03,2.64687500e-03
-9.76612500e-08,6.12500000e-03,4.20312500e-03,2.57187500e-03
-9.76212500e-08,5.89062500e-03,4.19843750e-03,2.52187500e-03
-9.75812500e-08,5.67812500e-03,4.15937500e-03,2.50312500e-03
-9.75412500e-08,5.50312500e-03,4.09062500e-03,2.50937500e-03
-9.75012500e-08,5.36562500e-03,3.99218750e-03,2.54375000e-03
-9.74612500e-08,5.28125000e-03,3.87031250e-03,2.60937500e-03
-9.74212500e-08,5.25312500e-03,3.72968750e-03,2.69375000e-03
-9.73812500e-08,5.28125000e-03,3.57656250e-03,2.80000000e-03
-9.73412500e-08,5.36562500e-03,3.42031250e-03,2.92187500e-03
-9.73012500e-08,5.50625000e-03,3.26562500e-03,3.05312500e-03
-9.72612500e-08,5.69062500e-03,3.12343750e-03,3.18750000e-03
-9.72212500e-08,5.91875000e-03,2.99843750e-03,3.31875000e-03
-9.71812500e-08,6.17500000e-03,2.89843750e-03,3.44375000e-03
-9.71412500e-08,6.45000000e-03,2.82968750e-03,3.55625000e-03
-9.71012500e-08,6.73125000e-03,2.79218750e-03,3.64687500e-03
-9.70612500e-08,7.00625000e-03,2.79062500e-03,3.71875000e-03
-9.70212500e-08,7.25937500e-03,2.82500000e-03,3.76562500e-03
-9.69812500e-08,7.48125000e-03,2.89531250e-03,3.78750000e-03
-9.69412500e-08,7.66250000e-03,2.99687500e-03,3.78437500e-03
-9.69012500e-08,7.79375000e-03,3.12500000e-03,3.75625000e-03
-9.68612500e-08,7.87187500e-03,3.27343750e-03,3.70625000e-03
-9.68212500e-08,7.89062500e-03,3.43750000e-03,3.63750000e-03
-9.67812500e-08,7.85000000e-03,3.60625000e-03,3.55312500e-03
-9.67412500e-08,7.75625000e-03,3.77500000e-03,3.45937500e-03
-9.67012500e-08,7.60937500e-03,3.93281250e-03,3.36250000e-03
-9.66612500e-08,7.42187500e-03,4.07187500e-03,3.26250000e-03
-9.66212500e-08,7.20000000e-03,4.18906250e-03,3.16875000e-03
-9.65812500e-08,6.95625000e-03,4.27500000e-03,3.08750000e-03
-9.65412500e-08,6.70625000e-03,4.32656250e-03,3.01875000e-03
-9.65012500e-08,6.45625000e-03,4.34218750e-03,2.96875000e-03
-9.64612500e-08,6.22500000e-03,4.32187500e-03,2.93750000e-03
-9.64212500e-08,6.01875000e-03,4.26406250e-03,2.93125000e-03
-9.63812500e-08,5.85312500e-03,4.17500000e-03,2.94687500e-03
-9.63412500e-08,5.73125000e-03,4.05625000e-03,2.98125000e-03
-9.63012500e-08,5.66250000e-03,3.91562500e-03,3.04062500e-03
-9.62612500e-08,5.65000000e-03,3.75781250e-03,3.11250000e-03
-9.62212500e-08,5.69375000e-03,3.59531250e-03,3.20312500e-03
-9.61812500e-08,5.78750000e-03,3.43125000e-03,3.30000000e-03
-9.61412500e-08,5.93437500e-03,3.27656250e-03,3.40625000e-03
-9.61012500e-08,6.12187500e-03,3.13750000e-03,3.50937500e-03
-9.60612500e-08,6.34062500e-03,3.02343750e-03,3.60937500e-03
-9.60212500e-08,6.58125000e-03,2.93593750e-03,3.70312500e-03
-9.59812500e-08,6.83437500e-03,2.88281250e-03,3.78125000e-03
-9.59412500e-08,7.08125000e-03,2.86562500e-03,3.84375000e-03
-9.59012500e-08,7.31875000e-03,2.88593750e-03,3.88750000e-03
-9.58612500e-08,7.52812500e-03,2.94062500e-03,3.90937500e-03
-9.58212500e-08,7.70625000e-03,3.02656250e-03,3.90937500e-03
-9.57812500e-08,7.84062500e-03,3.14375000e-03,3.88750000e-03
-9.57412500e-08,7.92500000e-03,3.28125000e-03,3.84687500e-03
-9.57012500e-08,7.95937500e-03,3.43593750e-03,3.78750000e-03
-9.56612500e-08,7.94375000e-03,3.59687500e-03,3.70937500e-03
-9.56212500e-08,7.87812500e-03,3.75781250e-03,3.62187500e-03
-9.55812500e-08,7.76875000e-03,3.91250000e-03,3.52500000e-03
-9.55412500e-08,7.62187500e-03,4.05000000e-03,3.42187500e-03
-9.55012500e-08,7.44687500e-03,4.16406250e-03,3.32187500e-03
-9.54612500e-08,7.25625000e-03,4.25156250e-03,3.22500000e-03
-9.54212500e-08,7.05625000e-03,4.30468750e-03,3.13750000e-03
-9.53812500e-08,6.86562500e-03,4.32343750e-03,3.06250000e-03
-9.53412500e-08,6.69062500e-03,4.30468750e-03,3.00625000e-03
-9.53012500e-08,6.54375000e-03,4.25156250e-03,2.96562500e-03
-9.52612500e-08,6.43437500e-03,4.16562500e-03,2.94375000e-03
-9.52212500e-08,6.37187500e-03,4.05156250e-03,2.94375000e-03
-9.51812500e-08,6.35937500e-03,3.91406250e-03,2.96250000e-03
-9.51412500e-08,6.40000000e-03,3.75937500e-03,3.00000000e-03
-9.51012500e-08,6.49375000e-03,3.59687500e-03,3.05312500e-03
-9.50612500e-08,6.64062500e-03,3.43437500e-03,3.12187500e-03
-9.50212500e-08,6.83437500e-03,3.27812500e-03,3.19687500e-03
-9.49812500e-08,7.06875000e-03,3.13593750e-03,3.28125000e-03
-9.49412500e-08,7.33437500e-03,3.01562500e-03,3.36250000e-03
-9.49012500e-08,7.61875000e-03,2.92343750e-03,3.44375000e-03
-9.48612500e-08,7.91250000e-03,2.86250000e-03,3.51562500e-03
-9.48212500e-08,8.20312500e-03,2.83593750e-03,3.57812500e-03
-9.47812500e-08,8.47812500e-03,2.84531250e-03,3.62187500e-03
-9.47412500e-08,8.72812500e-03,2.88906250e-03,3.65000000e-03
-9.47012500e-08,8.94062500e-03,2.96562500e-03,3.65625000e-03
-9.46612500e-08,9.10937500e-03,3.07187500e-03,3.64062500e-03
-9.46212500e-08,9.23125000e-03,3.20312500e-03,3.60312500e-03
-9.45812500e-08,9.29375000e-03,3.35000000e-03,3.54375000e-03
-9.45412500e-08,9.30625000e-03,3.50781250e-03,3.46562500e-03
-9.45012500e-08,9.26250000e-03,3.66875000e-03,3.36875000e-03
-9.44612500e-08,9.16875000e-03,3.82343750e-03,3.25937500e-03
-9.44212500e-08,9.03125000e-03,3.96562500e-03,3.14062500e-03
-9.43812500e-08,8.85625000e-03,4.08906250e-03,3.01562500e-03
-9.43412500e-08,8.65625000e-03,4.18593750e-03,2.89375000e-03
-9.43012500e-08,8.44062500e-03,4.25312500e-03,2.77500000e-03
-9.42612500e-08,8.22187500e-03,4.28750000e-03,2.66562500e-03
-9.42212500e-08,8.00937500e-03,4.28593750e-03,2.57187500e-03
-9.41812500e-08,7.81250000e-03,4.25000000e-03,2.49375000e-03
-9.41412500e-08,7.64375000e-03,4.18125000e-03,2.44062500e-03
-9.41012500e-08,7.51250000e-03,4.08125000e-03,2.40937500e-03
-9.40612500e-08,7.41875000e-03,3.95781250e-03,2.40312500e-03
-9.40212500e-08,7.37500000e-03,3.81406250e-03,2.42187500e-03
-9.39812500e-08,7.37812500e-03,3.65625000e-03,2.46250000e-03
-9.39412500e-08,7.42812500e-03,3.49531250e-03,2.52812500e-03
-9.39012500e-08,7.52187500e-03,3.33437500e-03,2.61250000e-03
-9.38612500e-08,7.65625000e-03,3.18437500e-03,2.71250000e-03
-9.38212500e-08,7.82187500e-03,3.05000000e-03,2.82187500e-03
-9.37812500e-08,8.01250000e-03,2.93750000e-03,2.93750000e-03
-9.37412500e-08,8.21562500e-03,2.85312500e-03,3.05625000e-03
-9.37012500e-08,8.42500000e-03,2.79843750e-03,3.16562500e-03
-9.36612500e-08,8.62500000e-03,2.77656250e-03,3.26562500e-03
-9.36212500e-08,8.80937500e-03,2.78906250e-03,3.35312500e-03
-9.35812500e-08,8.96875000e-03,2.83281250e-03,3.41875000e-03
-9.35412500e-08,9.09375000e-03,2.90781250e-03,3.46250000e-03
-9.35012500e-08,9.17812500e-03,3.00781250e-03,3.48125000e-03
-9.34612500e-08,9.21875000e-03,3.12812500e-03,3.47500000e-03
-9.34212500e-08,9.21562500e-03,3.26406250e-03,3.44687500e-03
-9.33812500e-08,9.16250000e-03,3.40781250e-03,3.39062500e-03
-9.33412500e-08,9.06875000e-03,3.55312500e-03,3.31562500e-03
-9.33012500e-08,8.93437500e-03,3.69062500e-03,3.22187500e-03
-9.32612500e-08,8.76875000e-03,3.81562500e-03,3.11562500e-03
-9.32212500e-08,8.57812500e-03,3.92343750e-03,3.00312500e-03
-9.31812500e-08,8.37187500e-03,4.00625000e-03,2.88750000e-03
-9.31412500e-08,8.16250000e-03,4.06093750e-03,2.77500000e-03
-9.31012500e-08,7.95937500e-03,4.08593750e-03,2.67187500e-03
-9.30612500e-08,7.77187500e-03,4.08125000e-03,2.58437500e-03
-9.30212500e-08,7.60937500e-03,4.04375000e-03,2.51562500e-03
-9.29812500e-08,7.48125000e-03,3.97968750e-03,2.46875000e-03
-9.29412500e-08,7.39062500e-03,3.88906250e-03,2.44375000e-03
-9.29012500e-08,7.34687500e-03,3.77812500e-03,2.45000000e-03
-9.28612500e-08,7.35000000e-03,3.65156250e-03,2.47812500e-03
-9.28212500e-08,7.40000000e-03,3.51562500e-03,2.53437500e-03
-9.27812500e-08,7.49687500e-03,3.37812500e-03,2.61250000e-03
-9.27412500e-08,7.63437500e-03,3.24531250e-03,2.70625000e-03
-9.27012500e-08,7.80625000e-03,3.12343750e-03,2.81562500e-03
-9.26612500e-08,8.00625000e-03,3.01718750e-03,2.93437500e-03
-9.26212500e-08,8.22500000e-03,2.93437500e-03,3.05625000e-03
-9.25812500e-08,8.45000000e-03,2.87500000e-03,3.17187500e-03
-9.25412500e-08,8.67500000e-03,2.84531250e-03,3.27812500e-03
-9.25012500e-08,8.88437500e-03,2.84531250e-03,3.36875000e-03
-9.24612500e-08,9.06875000e-03,2.87500000e-03,3.43750000e-03
-9.24212500e-08,9.22187500e-03,2.93281250e-03,3.48437500e-03
-9.23812500e-08,9.33437500e-03,3.01406250e-03,3.50312500e-03
-9.23412500e-08,9.40000000e-03,3.11718750e-03,3.49375000e-03
-9.23012500e-08,9.41562500e-03,3.23437500e-03,3.45625000e-03
-9.22612500e-08,9.37812500e-03,3.36093750e-03,3.39062500e-03
-9.22212500e-08,9.29062500e-03,3.49062500e-03,3.30000000e-03
-9.21812500e-08,9.15625000e-03,3.61718750e-03,3.19062500e-03
-9.21412500e-08,8.97812500e-03,3.73281250e-03,3.06562500e-03
-9.21012500e-08,8.76250000e-03,3.83125000e-03,2.93125000e-03
-9.20612500e-08,8.52187500e-03,3.91093750e-03,2.79375000e-03
-9.20212500e-08,8.26250000e-03,3.96406250e-03,2.66250000e-03
-9.19812500e-08,8.00000000e-03,3.98906250e-03,2.54062500e-03
-9.19412500e-08,7.74062500e-03,3.98593750e-03,2.43750000e-03
-9.19012500e-08,7.49687500e-03,3.95312500e-03,2.35937500e-03
-9.18612500e-08,7.27812500e-03,3.89375000e-03,2.30625000e-03
-9.18212500e-08,7.09062500e-03,3.80781250e-03,2.28437500e-03
-9.17812500e-08,6.94375000e-03,3.70312500e-03,2.29375000e-03
-9.17412500e-08,6.84375000e-03,3.58125000e-03,2.33750000e-03
-9.17012500e-08,6.79062500e-03,3.45156250e-03,2.41250000e-03
-9.16612500e-08,6.78750000e-03,3.31718750e-03,2.51250000e-03
-9.16212500e-08,6.82812500e-03,3.18750000e-03,2.64062500e-03
-9.15812500e-08,6.91250000e-03,3.06718750e-03,2.78437500e-03
-9.15412500e-08,7.03437500e-03,2.96406250e-03,2.94062500e-03
-9.15012500e-08,7.18125000e-03,2.88125000e-03,3.10312500e-03
