Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,2449.53125000,,Zero Index,2449.53125000,,Zero Index,2449.53125000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-0.680000,,yPosition,-2.140000,,yPosition,0.000000

Labels,,,
TIME,CH1,CH2,CH3
-9.79812500e-08,-4.11562500e-03,2.66718750e-03,3.49062500e-03
-9.79412500e-08,-4.11562500e-03,2.67343750e-03,3.54375000e-03
-9.79012500e-08,-4.11875000e-03,2.68125000e-03,3.60625000e-03
-9.78612500e-08,-4.11875000e-03,2.68906250e-03,3.67500000e-03
-9.78212500e-08,-4.12187500e-03,2.70000000e-03,3.74687500e-03
-9.77812500e-08,-4.12812500e-03,2.71406250e-03,3.82187500e-03
-9.77412500e-08,-4.13750000e-03,2.72812500e-03,3.89062500e-03
-9.77012500e-08,-4.15000000e-03,2.74375000e-03,3.95625000e-03
-9.76612500e-08,-4.17187500e-03,2.76093750e-03,4.01250000e-03
-9.76212500e-08,-4.19687500e-03,2.77812500e-03,4.05625000e-03
-9.75812500e-08,-4.22500000e-03,2.79375000e-03,4.09062500e-03
-9.75412500e-08,-4.25937500e-03,2.80781250e-03,4.11562500e-03
-9.75012500e-08,-4.30000000e-03,2.82031250e-03,4.12500000e-03
-9.74612500e-08,-4.34375000e-03,2.82656250e-03,4.12500000e-03
-9.74212500e-08,-4.38750000e-03,2.82968750e-03,4.11562500e-03
-9.73812500e-08,-4.43750000e-03,2.82656250e-03,4.09687500e-03
-9.73412500e-08,-4.48750000e-03,2.81875000e-03,4.07500000e-03
-9.73012500e-08,-4.53437500e-03,2.80312500e-03,4.04687500e-03
-9.72612500e-08,-4.58437500e-03,2.78125000e-03,4.01875000e-03
-9.72212500e-08,-4.63125000e-03,2.75312500e-03,3.99062500e-03
-9.71812500e-08,-4.67812500e-03,2.72031250e-03,3.96562500e-03
-9.71412500e-08,-4.72187500e-03,2.68281250e-03,3.94687500e-03
-9.71012500e-08,-4.76562500e-03,2.64062500e-03,3.93437500e-03
-9.70612500e-08,-4.80625000e-03,2.59687500e-03,3.93125000e-03
-9.70212500e-08,-4.84687500e-03,2.55156250e-03,3.93437500e-03
-9.69812500e-08,-4.88437500e-03,2.50781250e-03,3.94375000e-03
-9.69412500e-08,-4.92500000e-03,2.46406250e-03,3.95937500e-03
-9.69012500e-08,-4.96250000e-03,2.42500000e-03,3.98125000e-03
-9.68612500e-08,-5.00625000e-03,2.38906250e-03,4.00937500e-03
-9.68212500e-08,-5.05000000e-03,2.35781250e-03,4.03437500e-03
-9.67812500e-08,-5.09375000e-03,2.33437500e-03,4.06250000e-03
-9.67412500e-08,-5.14375000e-03,2.31562500e-03,4.08437500e-03
-9.67012500e-08,-5.19687500e-03,2.30468750e-03,4.10312500e-03
-9.66612500e-08,-5.25312500e-03,2.30156250e-03,4.11562500e-03
-9.66212500e-08,-5.31250000e-03,2.30312500e-03,4.11562500e-03
-9.65812500e-08,-5.37500000e-03,2.31250000e-03,4.10625000e-03
-9.65412500e-08,-5.43750000e-03,2.32500000e-03,4.08750000e-03
-9.65012500e-08,-5.50000000e-03,2.34375000e-03,4.05625000e-03
-9.64612500e-08,-5.56250000e-03,2.36562500e-03,4.01250000e-03
-9.64212500e-08,-5.62500000e-03,2.38906250e-03,3.95937500e-03
-9.63812500e-08,-5.68437500e-03,2.41250000e-03,3.89687500e-03
-9.63412500e-08,-5.73750000e-03,2.43750000e-03,3.82500000e-03
-9.63012500e-08,-5.78437500e-03,2.46250000e-03,3.75000000e-03
-9.62612500e-08,-5.82812500e-03,2.48437500e-03,3.67500000e-03
-9.62212500e-08,-5.86250000e-03,2.50312500e-03,3.59687500e-03
-9.61812500e-08,-5.88750000e-03,2.52031250e-03,3.52187500e-03
-9.61412500e-08,-5.90937500e-03,2.53281250e-03,3.45625000e-03
-9.61012500e-08,-5.92187500e-03,2.54218750e-03,3.39375000e-03
-9.60612500e-08,-5.92500000e-03,2.54687500e-03,3.34375000e-03
-9.60212500e-08,-5.92500000e-03,2.54843750e-03,3.30625000e-03
-9.59812500e-08,-5.92187500e-03,2.54843750e-03,3.28125000e-03
-9.59412500e-08,-5.91250000e-03,2.54375000e-03,3.26875000e-03
-9.59012500e-08,-5.90312500e-03,2.53750000e-03,3.27187500e-03
-9.58612500e-08,-5.89062500e-03,2.52968750e-03,3.28437500e-03
-9.58212500e-08,-5.88125000e-03,2.52031250e-03,3.31250000e-03
-9.57812500e-08,-5.87500000e-03,2.51250000e-03,3.35000000e-03
-9.57412500e-08,-5.87187500e-03,2.50468750e-03,3.40000000e-03
-9.57012500e-08,-5.87500000e-03,2.50000000e-03,3.45312500e-03
-9.56612500e-08,-5.88437500e-03,2.49687500e-03,3.51250000e-03
-9.56212500e-08,-5.89687500e-03,2.49687500e-03,3.57187500e-03
-9.55812500e-08,-5.91562500e-03,2.50000000e-03,3.63437500e-03
-9.55412500e-08,-5.94062500e-03,2.50781250e-03,3.69062500e-03
-9.55012500e-08,-5.97187500e-03,2.52187500e-03,3.74375000e-03
-9.54612500e-08,-6.00312500e-03,2.54062500e-03,3.79062500e-03
-9.54212500e-08,-6.03750000e-03,2.56406250e-03,3.82812500e-03
-9.53812500e-08,-6.07187500e-03,2.59218750e-03,3.85937500e-03
-9.53412500e-08,-6.10625000e-03,2.62656250e-03,3.87812500e-03
-9.53012500e-08,-6.13437500e-03,2.66406250e-03,3.89062500e-03
-9.52612500e-08,-6.15937500e-03,2.70625000e-03,3.89062500e-03
-9.52212500e-08,-6.17500000e-03,2.75156250e-03,3.88125000e-03
-9.51812500e-08,-6.18437500e-03,2.79843750e-03,3.86562500e-03
-9.51412500e-08,-6.18437500e-03,2.84531250e-03,3.84062500e-03
-9.51012500e-08,-6.17187500e-03,2.89375000e-03,3.81250000e-03
-9.50612500e-08,-6.15000000e-03,2.93906250e-03,3.78125000e-03
-9.50212500e-08,-6.11875000e-03,2.98281250e-03,3.74375000e-03
-9.49812500e-08,-6.07500000e-03,3.02031250e-03,3.70625000e-03
-9.49412500e-08,-6.02500000e-03,3.05312500e-03,3.67187500e-03
-9.49012500e-08,-5.96250000e-03,3.07812500e-03,3.63750000e-03
-9.48612500e-08,-5.89687500e-03,3.09531250e-03,3.60625000e-03
-9.48212500e-08,-5.82187500e-03,3.10312500e-03,3.58125000e-03
-9.47812500e-08,-5.74687500e-03,3.10000000e-03,3.55937500e-03
-9.47412500e-08,-5.66875000e-03,3.08750000e-03,3.54375000e-03
-9.47012500e-08,-5.59062500e-03,3.06406250e-03,3.53437500e-03
-9.46612500e-08,-5.51250000e-03,3.02968750e-03,3.53125000e-03
-9.46212500e-08,-5.43750000e-03,2.98593750e-03,3.53125000e-03
